title,genre,tags,platforms,description,metacritic,released
Final Fantasy VII (1997),adventure,"Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Sci-fi, Partial Controller Support, Fantasy, Exploration, Classic, Retro, role-playing, Turn-Based, Turn-Based Strategy, Cyberpunk, Dystopian, JRPG, 1990's, Party-Based RPG","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, PlayStation",final-fantasy-vii,83.0,1997-01-31
Spyro Reignited Trilogy,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Fantasy, Classic, Family Friendly, Cute, Colorful, Steam Trading Cards, Remake, 3D Platformer, Dragons, Masterpiece","PC, Xbox One, PlayStation 4, Nintendo Switch",spyro-reignited-trilogy,80.0,2018-11-13
Never Alone,adventure,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Story Rich, cooperative, 2D, Female Protagonist, Split Screen, Local Co-Op, Local Multiplayer, Cute, Short, Side Scroller, Story, Puzzle-Platformer, puzzles, 2.5D, nature, god, girl, fox","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux, PlayStation 3, Wii U",never-alone,70.0,2014-11-18
Clicker Heroes,adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, RPG, Co-op, Open World, cooperative, 2D, Fantasy, Funny, Free to Play, stats, Zombies, In-App Purchases, Family Friendly, Memes, Management, Illuminati, Touch-Friendly, Clicker","PC, Xbox One, PlayStation 4, iOS, Android, macOS",clicker-heroes,,2015-05-13
Kholat,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, First-Person, Horror, Difficult, Exploration, Survival, Survival Horror, Mystery, Walking Simulator, Other","PC, Xbox One, PlayStation 4, Nintendo Switch",kholat,64.0,2015-06-08
God of War III Remastered,adventure,exclusive,PlayStation 4,god-of-war-iii-remastered,81.0,2015-07-14
Outland,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op, cooperative, 2D, Difficult, Steam Leaderboards, Controller, Metroidvania, Bullet Hell","PC, macOS, Linux, Xbox 360, PlayStation 3",outland,83.0,2011-04-26
Blasphemous,adventure,"Singleplayer, Steam Achievements, Full controller support, 2D, Gore, Difficult, Exploration, Violent, Pixel Graphics, role-playing, Nudity, Dark Fantasy, Metroidvania, Lore-Rich, Souls-like","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",blasphemous,78.0,2019-09-09
Shadow Warrior 2,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Co-op, Open World, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Funny, Gore, Comedy, Hack and Slash, Memes, Parkour, achievements, Loot, Demons, Ninja, Swordplay","PC, Xbox One, PlayStation 4",shadow-warrior-2,78.0,2016-10-12
Uncharted: The Lost Legacy,adventure,"Atmospheric, Story Rich, Third Person, Action-Adventure, exclusive, Cinematic, true exclusive, Quick-Time Events","PlayStation 5, PlayStation 4",uncharted-the-lost-legacy,85.0,2017-08-22
VVVVVV,adventure,"Singleplayer, Multiplayer, Full controller support, Great Soundtrack, Open World, 2D, Sci-fi, Difficult, Exploration, Classic, Pixel Graphics, Retro, Space, Short, Metroidvania, Minimalist","PC, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, PS Vita",vvvvvv,81.0,2010-01-09
H1Z1: King of the Kill,adventure,"Multiplayer, Co-op, Open World, cooperative, First-Person, Horror, FPS, Online Co-Op, Gore, Survival, Violent, Free to Play, Online multiplayer, Third-Person Shooter, Early Access, PvP, Zombies, Nudity, In-App Purchases, Walking Simulator, Beat 'em up, mmo, 3D Vision",PC,h1z1-king-of-the-kill,,2016-02-17
Saints Row: Gat Out of Hell,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Open World, cooperative, First-Person, Third Person, Online Co-Op, Funny, Gore, Sandbox, Female Protagonist, Comedy, Third-Person Shooter, controller support, Mature, overlay, achievements, Dark Humor, Demons, cloud saves","PC, Xbox One, PlayStation 4, Linux, Xbox 360, PlayStation 3",saints-row-gat-out-of-hell,66.0,2015-01-20
LEGO Marvel Super Heroes,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, Open World, cooperative, Third Person, Funny, Sandbox, Comedy, Split Screen, Local Co-Op, Local Multiplayer, Family Friendly, Comic Book, Superhero, LEGO","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, Nintendo DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",lego-marvel,78.0,2013-10-22
Sniper Elite 3,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Open World, cooperative, Third Person, FPS, Online Co-Op, Gore, Steam Leaderboards, Stealth, Tactical, Third-Person Shooter, War, World War II, Sniper","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",sniper-elite-3,67.0,2014-06-26
Enclave,adventure,"Singleplayer, Multiplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, RPG, Open World, First-Person, Third Person, Horror, Fantasy, Difficult, Classic, Female Protagonist, Action RPG, Nudity, Hack and Slash, Magic","PC, macOS, Linux",enclave,71.0,2002-07-18
Hellblade: Senua's Sacrifice VR Edition,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Violent, VR",PC,hellblade-senuas-sacrifice-vr-edition,87.0,2018-07-31
Fallout 76,adventure,"Steam Achievements, Multiplayer, Atmospheric, RPG, Co-op, Open World, cooperative, First-Person, Partial Controller Support, Horror, Online Co-Op, Funny, Gore, Exploration, Survival, Comedy, Violent, Action-Adventure, PvP, Anime, Nudity, In-App Purchases, Post-apocalyptic, Memes, Sexual Content, Online PvP, mmo, MMORPG, Base Building, Masterpiece, retro-futurism","PC, Xbox One, PlayStation 4",fallout-76,51.0,2018-11-14
Mass Effect: Legendary Edition,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Sci-fi, Classic, Female Protagonist, Action RPG, Third-Person Shooter, Space, Nudity, Character Customization, Choices Matter, combat, Military, Sexual Content, Steam Trading Cards, Tactical RPG, Remote Play on TV, ea play","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",mass-effect-legendary-edition,88.0,2021-05-14
Prince of Persia (2008),adventure,"Singleplayer, Atmospheric, Great Soundtrack, Story Rich, Open World, Third Person, Fantasy, Exploration, Hack and Slash, controller support, Parkour, Relaxing, puzzles","PC, macOS, Xbox 360, PlayStation 3",prince-of-persia,82.0,2008-12-02
Mirror's Edge Catalyst,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Open World, First-Person, Sci-fi, Female Protagonist, Action-Adventure, combat, Parkour, Cyberpunk, Dystopian, Story, Steam Trading Cards, Stylized, 3D Platformer, puzzles, city, Soundtrack, Puzzle Platformer, Martial Arts, future, Runner, guns, avoid, colors","PC, Xbox One, PlayStation 4",mirrors-edge-catalyst,72.0,2016-06-07
Genshin Impact,adventure,"Singleplayer, Multiplayer, Great Soundtrack, RPG, Open World, Fantasy, Free to Play, Role Playing Game","PC, PlayStation 5, PlayStation 4, Nintendo Switch, iOS, Android",genshin-impact,83.0,2020-09-28
Prototype,adventure,"Singleplayer, Steam Achievements, Atmospheric, RPG, Story Rich, Open World, Third Person, Sci-fi, Horror, FPS, Gore, Sandbox, Violent, Stealth, Action-Adventure, Controller, Zombies, Hack and Slash, 3D, RTS, Parkour, Robots, 3D Platformer, Destruction, Loot, Turn-Based Tactics, Superhero, Cartoon, Arena Shooter, Rhythm, Real Time Tactics, Abstract, Outbreak Sim","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",prototype,79.0,2009-06-09
Strider,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, 2D, Sci-fi, Steam Leaderboards, Classic, Controller, Retro, Anime, Hack and Slash, Side Scroller, Fast-Paced, Cyberpunk, Beat 'em up, Metroidvania, Remake, 2.5D, Ninja","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",strider,78.0,2012-02-16
Viking: Battle for Asgard,adventure,"Singleplayer, Steam Achievements, RPG, Co-op, Open World, Third Person, Fantasy, Steam Leaderboards, Controller, Hack and Slash, Mythology","PC, Xbox 360, PlayStation 3",viking,66.0,2008-03-25
SteamWorld Dig,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, RPG, 2D, Sci-fi, Exploration, Sandbox, Controller, controller support, Short, Side Scroller, Metroidvania, Robots, Steampunk, puzzles, Western, Mining","PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 3DS, macOS, Linux, PS Vita, Wii U",steamworld-dig,76.0,2013-08-08
Elite Dangerous,adventure,"Singleplayer, Multiplayer, RPG, Co-op, Open World, First-Person, Sci-fi, Partial Controller Support, Online Co-Op, Difficult, Exploration, Sandbox, Space, VR, mmo, Trading, Space Sim, TrackIR, ship-customization","PC, Xbox One, PlayStation 4, macOS",elite-dangerous,80.0,2015-04-02
Darksiders III,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Story Rich, Open World, Third Person, Gore, Female Protagonist, Violent, Action-Adventure, Hack and Slash, Post-apocalyptic, Dark Fantasy","PC, Xbox One, PlayStation 4, Nintendo Switch",darksiders-iii,65.0,2018-11-27
The Vanishing of Ethan Carter,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, First-Person, Horror, Gore, Exploration, Point & Click, Mystery, Short, Walking Simulator, Detective, Supernatural, Lovecraftian","PC, Xbox One, PlayStation 4, Nintendo Switch",the-vanishing-of-ethan-carter,82.0,2014-09-25
Unravel,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Family Friendly, Colorful, Steam Trading Cards, island, Puzzle Platformer, cat, children, flower, small-size, wolly","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360",unravel,78.0,2016-02-09
Thomas Was Alone,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack, Story Rich, 2D, Sci-fi, Funny, Comedy, Family Friendly, Short, Colorful, Relaxing, Puzzle-Platformer, Narration, Minimalist","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PlayStation 3, PS Vita, Wii U",thomas-was-alone,77.0,2012-06-30
Ultimate Epic Battle Simulator,adventure,"Singleplayer, Atmospheric, Open World, First-Person, Third Person, Fantasy, Funny, Gore, Sandbox, Survival, Comedy, Violent, Early Access, Zombies, War, Medieval, Memes",PC,ultimate-epic-battle-simulator,,2017-04-12
Star Wars Jedi Knight II: Jedi Outcast,adventure,"Singleplayer, Multiplayer, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, First-Person, Third Person, Sci-fi, Partial Controller Support, FPS, Classic, Online multiplayer, Local Multiplayer, Third-Person Shooter, Space, Moddable, combat, Cult Classic, Epic, Swordplay, Star Wars, galaxy, boss","PC, PlayStation 4, Nintendo Switch, macOS, Xbox, GameCube, Classic Macintosh",star-wars-jedi-knight-ii-jedi-outcast,89.0,2002-03-01
The Order: 1886,adventure,"Singleplayer, Atmospheric, Exploration, Stealth, Action-Adventure, Nudity, Mature, Cinematic, true exclusive, 3rd-Person Perspective, Steampunk, Alternate History, exclusives",PlayStation 4,the-order-1886,63.0,2015-01-13
Scribblenauts Unlimited,adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Open World, 2D, Fantasy, Funny, Sandbox, Comedy, Steam Workshop, Moddable, Family Friendly, Cute, Replay Value, puzzles, Education","PC, iOS, Android, Nintendo 3DS, Wii U",scribblenauts-unlimited,75.0,2012-11-13
The Uncertain: Episode 1 - The Last Quiet Day,adventure,"Singleplayer, Steam Achievements, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Sci-fi, Partial Controller Support, Point & Click, Post-apocalyptic, Futuristic, Cyberpunk, Robots, Episodic, Hidden Object","PC, macOS",the-uncertain-episode-1-the-last-quiet-day,,2016-09-22
RiME,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Open World, Fantasy, Exploration, controller support, Colorful, Relaxing, 3D Platformer, puzzles, cloud saves","PC, Xbox One, PlayStation 4, Nintendo Switch",rime,78.0,2017-05-25
Moonlighter,adventure,"Singleplayer, Full controller support, 2D, Pixel Graphics, role-playing, Roguelite, Dungeon Crawler","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux",moonlighter,82.0,2018-05-28
Remnant: From the Ashes,adventure,"Singleplayer, Full controller support, RPG, cooperative, Online Co-Op, Gore, Violent, Post-apocalyptic, Procedural Generation, Souls-like","PC, Xbox One, PlayStation 4, Nintendo Switch",remnant-from-the-ashes,76.0,2019-08-20
This is the Police,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Horror, Comedy, Choices Matter, Mature, Memes, Crime, Management, Visual Novel, Detective, achievements, Kickstarter, Noir, Political, leaderboards","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux",this-is-the-police,66.0,2016-08-01
South Park: The Fractured But Whole,adventure,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, 2D, Horror, Funny, Comedy, role-playing, Nudity, Turn-Based, Mature, Memes, Dark Humor, Illuminati, Superhero, Cartoon, Satire","PC, Xbox One, PlayStation 4, Nintendo Switch",south-park-the-fractured-but-whole,80.0,2017-03-31
LittleBigPlanet 3,adventure,"exclusive, 4 giocatori divano","PlayStation 4, PlayStation 3",littlebigplanet-3,79.0,2014-11-18
SteamWorld Dig 2,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, 2D, Female Protagonist, Metroidvania, Steampunk, puzzles","PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 3DS, macOS, Linux, PS Vita",steamworld-dig-2,88.0,2017-09-21
Dungeon of the Endless,adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, RPG, Co-op, cooperative, 2D, Sci-fi, Partial Controller Support, Difficult, Survival, Pixel Graphics, Cross-Platform Multiplayer, Replay Value, Roguelike, Roguelite, Dungeon Crawler, Procedural Generation, Resource Management, Tower Defense, Perma Death","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS",dungeon-of-the-endless,79.0,2014-10-27
My Friend Pedro,adventure,"Singleplayer, 2D, Partial Controller Support, Gore, Violent","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",my-friend-pedro,76.0,2019-06-19
Hyper Light Drifter,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Co-op, 2D, Sci-fi, Fantasy, Difficult, Exploration, Local Co-Op, Pixel Graphics, Action RPG, Local Multiplayer, Hack and Slash, Post-apocalyptic, controller support, Colorful, Top-Down, Metroidvania, Kickstarter","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",hyper-light-drifter,84.0,2016-03-30
Just Cause 4,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, Story Rich, Open World, cooperative, Gore, Sandbox, Violent, Action-Adventure, Third-Person Shooter, Physics, 3rd-Person Perspective, Destruction","PC, Xbox One, PlayStation 4",just-cause-4,68.0,2018-12-04
STAR WARS: The Force Unleashed II,adventure,"Singleplayer, Steam Cloud, Story Rich, Third Person, Sci-fi, Partial Controller Support, Fantasy, Controller, Hack and Slash, Short, Star Wars","PC, Xbox One, Nintendo DS, Xbox 360, PlayStation 3, Wii",star-wars-the-force-unleashed-2,59.0,2010-10-25
Snake Pass,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Difficult, Steam Leaderboards, Family Friendly, Cute, Colorful, Physics, Puzzle-Platformer, 3D Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch",snake-pass,71.0,2017-03-28
Limbo,indie,"Singleplayer, Full controller support, Atmospheric, 2D, Horror, Difficult, Action-Adventure, Pixel Graphics, Controller, Dark, controller support, Short, Dark Fantasy, Physics, Side Scroller, Cinematic, combat, Linear, Surreal, Puzzle-Platformer, Minimalist, 2D Fighter, Noir, Family Sharing, 2D Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3, PS Vita",limbo,88.0,2010-07-21
Terraria,indie,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Co-op, Open World, 2D, Online Co-Op, Exploration, Sandbox, Survival, Online multiplayer, Pixel Graphics, role-playing, Family Friendly, controller support, Replay Value, Crafting, Building, overlay","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U",terraria,81.0,2011-05-16
Rocket League,indie,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op, cooperative, Online Co-Op, Funny, Split Screen, Local Co-Op, Local Multiplayer, stats, Steam Workshop, Cross-Platform Multiplayer, Team-Based, Fast-Paced, Competitive, 4 Player Local, 4 giocatori divano, Football, Soccer, lan party","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",rocket-league,86.0,2015-07-07
Hollow Knight,indie,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, 2D, Difficult, Exploration, Controller, controller support, Cute, Dark Fantasy, Side Scroller, Multiple Endings, Metroidvania, Hand-drawn, Gothic","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",hollow-knight,88.0,2017-02-23
Stardew Valley,indie,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Co-op, Open World, 2D, Partial Controller Support, Sandbox, Pixel Graphics, Retro, role-playing, Cute, Crafting, Building, overlay, Relaxing, Dating Sim, Shared/Split Screen Co-op, cloud saves, Fishing, Agriculture, co-op multiplayer","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita",stardew-valley,89.0,2016-02-25
Hotline Miami,indie,"Singleplayer, Steam Achievements, Atmospheric, steam-trading-cards, Great Soundtrack, 2D, Partial Controller Support, Gore, Difficult, Violent, Pixel Graphics, Retro, controller support, Fast-Paced, Top-Down, overlay, Music, Surreal, Top-Down Shooter, 1980s, Psychedelic","PC, Xbox One, PlayStation 4, Nintendo Switch, Linux, PS Vita",hotline-miami,85.0,2012-10-22
Outlast,indie,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, First-Person, Sci-fi, Horror, FPS, Gore, Difficult, Survival, Stealth, Dark, Nudity, Survival Horror, controller support, Captions available, Walking Simulator, Parkour, 3D Vision","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",outlast,80.0,2013-09-03
Path of Exile,indie,"Singleplayer, Steam Achievements, Multiplayer, steam-trading-cards, RPG, Co-op, cooperative, Online Co-Op, Fantasy, Free to Play, Online multiplayer, Action RPG, Hack and Slash, In-App Purchases, Character Customization, Dark Fantasy, mmo, Dungeon Crawler, MMORPG, PvE, Loot, Inventory Management, Fishing","PC, Xbox One, PlayStation 4",path-of-exile,86.0,2013-10-23
Garry's Mod,indie,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Co-op, First-Person, FPS, Online Co-Op, Funny, Sandbox, Comedy, Steam Workshop, Cross-Platform Multiplayer, Includes level editor, Moddable, Captions available, Physics, Building, Valve Anti-Cheat enabled, vr mod, Mod, Animation & Modeling","PC, macOS, Linux",garrys-mod,,2004-12-24
Amnesia: The Dark Descent,indie,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, First-Person, Horror, Exploration, Classic, Survival, Stealth, Dark, Moddable, Survival Horror, Captions available, Commentary available, Gothic, Lovecraftian","PC, macOS, Linux",amnesia-the-dark-descent,85.0,2010-09-08
Don't Starve Together,indie,"Singleplayer, Multiplayer, Full controller support, Atmospheric, steam-trading-cards, Co-op, Open World, cooperative, 2D, Horror, Online Co-Op, Funny, Difficult, Sandbox, Survival, Local Co-Op, Steam Workshop, Cross-Platform Multiplayer, Survival Horror, Crafting, Roguelike","PC, Xbox One, PlayStation 4, macOS, Linux",dont-starve-together,83.0,2016-04-21
Hellblade: Senua's Sacrifice,indie,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Third Person, Horror, Fantasy, Female Protagonist, Violent, Action-Adventure, Dark, Hack and Slash, Dark Fantasy, Realistic, Walking Simulator, Blood, Psychological, Mythology","PC, Xbox One, PlayStation 4, Nintendo Switch",hellblade-senuas-sacrifice,83.0,2017-08-07
Super Meat Boy,indie,"Singleplayer, Steam Achievements, Full controller support, steam-trading-cards, Great Soundtrack, 2D, Funny, Gore, Difficult, Steam Leaderboards, Comedy, Pixel Graphics, Controller, Retro, Replay Value, Side Scroller, Fast-Paced, Level Editor, Time Attack, Precision Platformer","PC, PlayStation 4, Nintendo Switch, Android, macOS, Linux, Xbox 360, PS Vita, Wii U, Web",super-meat-boy,87.0,2010-10-20
ARK: Survival Of The Fittest,indie,"Singleplayer, Multiplayer, RPG, Co-op, Open World, First-Person, Partial Controller Support, FPS, Exploration, Steam Leaderboards, Sandbox, Survival, Free to Play, stats, Early Access, Steam Workshop, PvP, Includes level editor, Crafting, Dragons, Dinosaurs","PC, iOS, Android, macOS, Linux",ark-survival-of-the-fittest,,2016-03-15
Hades,indie,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, 2D, Fantasy, Action-Adventure, Action RPG, Early Access, Hack and Slash, Replay Value, Roguelike, Isometric, Roguelite, Dungeon Crawler, Hand-drawn, Perma Death, dungeons","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",hades-2018,93.0,2020-09-17
Fall Guys: Ultimate Knockout,indie,"Steam Achievements, Full controller support, Online multiplayer, Cross-Platform Multiplayer","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",fall-guys,80.0,2020-08-04
Bastion,indie,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, 2D, Fantasy, Steam Leaderboards, Action RPG, Controller, role-playing, Hack and Slash, Post-apocalyptic, controller support, Short, Colorful, Isometric, Music, Hand-drawn, Narration, Twin Stick Shooter, Dynamic Narration, Narrative","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, macOS, Linux, Xbox 360, PS Vita",bastion,86.0,2011-07-20
Minecraft,indie,"Multiplayer, Sandbox, 3D, Crafting, Building, vr mod, open-world, cube, modding, procedural-generation","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U",minecraft,83.0,2009-05-10
ARK: Survival Evolved,indie,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, RPG, Co-op, Open World, cooperative, First-Person, Sci-fi, Sandbox, Survival, Free to Play, Early Access, Steam Workshop, role-playing, Includes level editor, Crafting, Building, VR, Valve Anti-Cheat enabled, mmo, MMORPG, Base Building, Dragons, Dinosaurs","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",ark-survival-evolved,70.0,2015-06-02
Journey,indie,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Story Rich, cooperative, First-Person, Horror, FPS, Online Co-Op, Exploration, Classic, Free to Play, Action-Adventure, Family Friendly, Mystery, 3D, Multiple Endings, 3rd-Person Perspective, Music, Stylized, Masterpiece, Beautiful, calm, peaceful","PC, PlayStation 4, iOS, PlayStation 3",journey,92.0,2012-03-13
Warhammer: Vermintide 2,indie,"Co-op, cooperative, Online Co-Op, Gore, Violent, Games Workshop","PC, Xbox One, PlayStation 4",warhammer-vermintide-2,82.0,2018-03-08
Undertale,indie,"Singleplayer, Great Soundtrack, RPG, Story Rich, 2D, Horror, Funny, Comedy, Pixel Graphics, Dark, Retro, role-playing, Cute, Replay Value, Choices Matter, Memes, Multiple Endings, overlay, Bullet Hell, Dating Sim","PC, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, macOS, Linux, PS Vita",undertale,92.0,2015-09-14
Brothers: A Tale of Two Sons,indie,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, 2D, Third Person, Fantasy, Survival, Local Co-Op, Controller, controller support, Short, Colorful, Turn-Based Strategy, Walking Simulator, Top-Down, 3D Vision, Linear, Stylized, Drama, Hand-drawn, Turn-Based Tactics, Lore-Rich, Puzzle Platformer, Grid-Based Movement, Faith, solitaire, Foreign, Sokoban","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Xbox 360, PlayStation 3",brothers-a-tale-of-two-sons-2,90.0,2013-08-07
Brawlhalla,indie,"Singleplayer, Multiplayer, Full controller support, steam-trading-cards, Co-op, cooperative, 2D, Online Co-Op, Survival, Free to Play, Online multiplayer, Split Screen, Local Co-Op, Controller, Local Multiplayer, Early Access, Cross-Platform Multiplayer, Beat 'em up, 4 Player Local, 2D Fighter","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS",brawlhalla,,2014-04-30
INSIDE,indie,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Sci-fi, Horror, Stealth, Dark, controller support, Mystery, Short, Dystopian, achievements, Puzzle-Platformer, 2.5D, european, Tek Oyunculu","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS",inside,87.0,2016-06-28
Firewatch,indie,"Atmospheric, Great Soundtrack, Story Rich, Horror, Exploration, Mystery, Short, Colorful, Mature, Walking Simulator, Visual Novel, Drama, Interactive Fiction, Thriller, interactive movie, interactive game","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",firewatch,81.0,2016-02-08
No Man's Sky,indie,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Open World, First-Person, Sci-fi, Horror, FPS, Exploration, Sandbox, Survival, Space, controller support, Mystery, Crafting, overlay, online, achievements, Procedural Generation, Illuminati, console, Epic, nature, offline, Science, cloud saves, fight, weapons, Space Sim, journey, ship, planets, galaxy, light, sun, sky","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",no-mans-sky,75.0,2016-08-09
Cuphead,indie,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack, Co-op, cooperative, 2D, Funny, Difficult, Local Co-Op, Retro, Captions available, Colorful, Side Scroller, Shoot 'Em Up, Hand-drawn, Cartoony, Bullet Hell, Cartoon","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",cuphead,87.0,2017-09-29
Disco Elysium,indie,"Singleplayer, RPG, Story Rich, role-playing, Isometric","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",disco-elysium,91.0,2019-10-14
